user_id,created_at,lang,tweet
U064,2024-01-07 12:17:23,it,Life is good!
U051,2024-01-06 11:18:55,de,Just finished a great book.
U022,2024-01-06 05:36:06,ko,Just finished a great book.
U014,2024-01-29 21:50:16,es,Coffee makes everything better.
U098,2024-01-29 09:55:37,ja,Can't wait for the holidays.
U051,2024-01-18 05:00:41,es,Life is good!
U087,2024-01-30 16:57:45,ru,Just finished a great book.
U045,2024-01-11 18:46:39,pt,Loving the new tech trends.
U001,2024-01-21 09:43:53,pt,Excited for the weekend!
U042,2024-01-21 21:50:13,ko,Working on a cool project.
U096,2024-01-14 13:55:26,en,Excited for the weekend!
U045,2024-01-03 22:35:53,de,Can't wait for the holidays.
U055,2024-01-24 20:43:21,ja,Exploring new places today!
U016,2024-01-24 06:02:11,zh,Python is awesome.
U054,2024-01-12 17:01:45,de,Exploring new places today!
U093,2024-01-19 14:18:45,es,Coffee makes everything better.
U002,2024-01-10 14:09:17,ru,Python is awesome.
U037,2024-01-03 18:14:25,ko,Can't wait for the holidays.
U069,2024-01-20 00:51:28,de,Exploring new places today!
U053,2024-01-09 03:53:10,fr,AI is changing the world.
U017,2024-01-03 18:36:16,ja,Life is good!
U065,2024-01-15 02:16:00,fr,Just finished a great book.
U067,2024-01-11 00:35:43,ja,Coffee makes everything better.
U052,2024-01-16 04:54:03,fr,Loving the new tech trends.
U076,2024-01-23 04:26:28,ko,AI is changing the world.
U089,2024-01-22 23:03:42,pt,Working on a cool project.
U037,2024-01-22 17:23:17,ja,Coffee makes everything better.
U059,2024-01-22 23:30:19,ja,Exploring new places today!
U073,2024-01-05 22:11:41,es,Excited for the weekend!
U021,2024-01-14 10:36:36,ru,Life is good!
U005,2024-01-02 13:01:35,en,Python is awesome.
U022,2024-01-10 03:20:47,fr,AI is changing the world.
U019,2024-01-17 10:11:46,ko,Just finished a great book.
U099,2024-01-03 19:01:57,de,Can't wait for the holidays.
U019,2024-01-19 05:32:45,ru,Coffee makes everything better.
U034,2024-01-18 14:22:44,ru,Python is awesome.
U079,2024-01-20 04:37:42,fr,Can't wait for the holidays.
U086,2024-01-19 04:11:41,ru,Just finished a great book.
U041,2024-01-28 19:58:27,ko,Loving the new tech trends.
U051,2024-01-06 14:23:39,it,Life is good!
U024,2024-01-26 03:23:55,pt,Working on a cool project.
U003,2024-01-15 12:05:44,de,Excited for the weekend!
U011,2024-01-28 13:26:48,ru,Just finished a great book.
U073,2024-01-03 06:29:18,de,Life is good!
U001,2024-01-03 19:40:08,fr,Loving the new tech trends.
U076,2024-01-03 03:58:51,ru,Python is awesome.
U025,2024-01-06 21:37:54,ru,Just finished a great book.
U055,2024-01-04 04:13:25,ko,Working on a cool project.
U005,2024-01-16 03:34:14,es,Can't wait for the holidays.
